total,urban,rural
809943.5035999999,230844.478,580765.6963
26152.4403,5109.6409,20793.981
677160.9992,65978.13,611200.3752
2789865.3136,248094.13760000002,2557857.7772
582430.5144,108651.43710000001,472551.86010000005
18815.2305,12241.989,6675.9451
1214837.8092,455687.9691,763281.398
524775.2633999999,161810.4849,363205.898
109833.632,7229.796,101904.825
196898.4414,40855.57980000001,158480.244
755428.2686,145968.32239999998,613849.2885
1075277.2272,382740.5844,693182.6975
477706.67230000003,229462.9344,249837.2305
1822932.9059000001,391353.3975,1424305.6484
1786751.8947,787683.0145,1003364.0062000001
36839.742600000005,10343.5096,26685.648
70315.2693,8336.3,61420.270099999994
17006.693,7204.3146,9562.917
27699.028,7593.8478000000005,20268.5184
780720.4548000001,95950.0872,685423.0152
413375.7362,146627.95859999998,270569.39519999997
1665727.0191000002,359714.5935,1297808.8704
10135.578200000002,2841.193,7083.4845
1082205.45,523761.6,562166.809
615894.615,231347.305,384218.5714
50332.662899999996,10864.4189,39601.9744
167432.44720000002,48789.408,118220.8272
5235083.334199999,1014487.4364,4240161.6894000005
1405652.171,343297.42360000004,1050894.6097
4452.7977,229.5808,2963.6625
14670.755,14165.1342,556.6271999999999
8420.8705,4448.4815,3735.5255999999995
5837.928,4717.5558,1008.6132
260213.0855,253717.9345,7123.714
1218.5397,885.8432,339.384
17346.5467,11938.542,5374.72
24701441.5308,6410804.125,18425849.6292
